Permit type,Checklist Name
General/Cold work,Area free from slippery/ combustibles materials
General/Cold work,"Equipment depressurized, drained, flushed/ purged."
General/Cold work,Venting and adequate lighting arranged.
General/Cold work,Hand tools/ portable power tools have been checked (including earthing) & found in order.
General/Cold work,Safe approach to work area/ temporary working platform of sound health provided.
General/Cold work,Hand tools/ portable power tools have been checked (including earthing) & found in order.
General/Cold work,"Safety appliances like gas mask, breathing apparatus, helmet, goggles, face shield, gloves, apron etc. provided and their use ensured."
General/Cold work,Job Hazards is explained to all concern thru tool box talk meeting.
General/Cold work,Electrical connections through ELCB/RCCB of 30 mA sensitivity
Electrical Work,LIVE ELECTRICAL WORK PERFORMED BY LICENCED ELECRTRICIAN ONLY
Electrical Work,Obtained LOTOTO
Electrical Work,Power supply locked and tagged
Electrical Work,Circuit checked for zero voltage
Electrical Work,Portable cords and electric tools inspected
Electrical Work,Safety back-up man appointed
Electrical Work,Job Hazards is explained to all concern thru tool box talk meeting.
Electrical Work,"Physical isolation is ensured If yes, State the method"
Electrical Work,"In case of lock applied, ensure the safe custody of the key"
Electrical Work,"If physical isolation is not possible state, the alternative method of precaution"
Electrical Work,ELCB/RCCB is installed of 30 mA
Hot Work,"Equipment depressurised, drained, flushed/ purged."
Hot Work,"Venting/discharge stopped, if being done close by"
Hot Work,"Leakages of flammable gas/liquids from near by valves, flanges or pipelines stopped if any"
Hot Work,"Work area made free from combustibles like oily rags, spills etc."
Hot Work,Control for sparks like asbestos blanket/sheet provided.
Hot Work,"Fire control measures like water hose, extinguisher, fire staff arranged."
Hot Work,Permit to work at height issued separately.
Hot Work,All lifting tools / tackles and lifting machines to be used are checked and found in order
Hot Work,Hand tools/ portable power tools have been checked (including earthing) and found in order.
Hot Work,Return welding cable arranged from job to welding set & will be kept connected.
Hot Work,Electrical connections through ELCB/RCCB of 30 mA sensitivity
Hot Work,Welding Machine Earthed properly
Hot Work,Only industrial type electrical appliances like Plug Sockets etc are in use
Hot Work,Gas cutting torch and Cylinders  installed with Back Fire and Flash back arrestors
Hot Work,Hoses are free from damage and connected with hose clamp.
Hot Work,"Regulator pressure gauges in working condition, visible and not damaged."
Hot Work,Welding cable and earthing cable are crimped with proper size lugs.
Hot Work,Job Hazards is explained to all concern thru tool box talk meeting
Hot Work,Fire Precautions Taken
Hot Work,Fire Fighting arrangements provided
Hot Work,Safe approach to work area/ temporary working platform of sound health provided
Hot Work,Gas Cutting cylinders are provided with valve protection cap & working pressure gauge.
Work At Height,Is any overhead Electrical line passing through working area?
Work At Height,Safe work platform/ scaffolding of sound construction provided
Work At Height,Only medically fit personnel engaged in work
Work At Height,All employees trained for working at height.
Work At Height,Job Hazards is explained to all concern thru tool box talk meeting.
Work At Height,Ladder(s) inspected prior to use
Work At Height,Ladder properly supported and leveled
Work At Height,Scaffolds/platforms inspected for good repair and proper construction
Work At Height,Area below work place cleared off / cordon off with safety tape
Work At Height,Nos./ Roof safe walk ladder provided to work/ walk on fragile roof top and use shall be ensured.
Work At Height,All lifting tools / tackles and lifting machines to be used are checked and found in order
Work At Height,Hand tools/ portable power tools have been checked (including earthing) and found in order.
Work At Height,Provision of safety net below the job in sound condition.
Work At Height,Safety Harness and Lanyard anchored to independent rigid object
Work At Height,No of personal protective appliances like full body harness tested of competent person  (ISI mark) having identification  Nos              provided to all the persons working at height and use shall be ensured.
Work At Height,Cell phone (Mobile) not to be carried by the workmen while work at height.
Confined Space,Connecting pipe lines blinded / Disconnected for isolation and tagged.
Confined Space,Vent / Manholes are kept open to maintain proper ventilation
Confined Space,Vessel properly depressurised and drained.
Confined Space,Vessel gas freed and cooled.
Confined Space,No Overhead Coating seen inside the Vessel.
Confined Space,Provision for venting made (exhaust fan at manhole).
Confined Space,Only trained personnel were engaged & register was maintained for entry & exit of person with time.
