40_ACP_501,TG BUILDING +9M,Aux.Cooling water pump motor-1
40-CEPM-01,TG BUILDING +9M,CEP Motor-1
50-CTF-501,TG BUILDING +9M,Aux cooling Tower Fan motor-1
40-CDPM_01,TG BUILDING +9M,Hotwell Drain Pump Motor-1
40-FNM-001,TG BUILDING +9M,ACC Fan Motor-1
40-FNM-002,TG BUILDING +9M,ACC Fan Motor-2
40-FNM-003,TG BUILDING +9M,ACC Fan Motor-3
40-FNM-004,TG BUILDING +9M,ACC Fan Motor-4
40-FNM-005,TG BUILDING +9M,ACC Fan Motor-5
40-FNM-006,TG BUILDING +9M,ACC Fan Motor-6
40-FNM-007,TG BUILDING +9M,ACC Fan Motor-7
40-FNM-008,TG BUILDING +9M,ACC Fan Motor-8
40-FNM-009,TG BUILDING +9M,ACC Fan Motor-9
40-FNM-010,TG BUILDING +9M,ACC Fan Motor-10
40-FNM-011,TG BUILDING +9M,ACC Fan Motor-11
40_FCP_001,TG BUILDING +9M,Fins Cleaning Pump Motor - 01
40_ACP_502,TG BUILDING +9M,Aux.Cooling water pump motor-2
50-CTF-501,TG BUILDING +9M,Aux cooling Tower Fan motor-2
40-CDPM_02,TG BUILDING +9M,Hotwell Drain Pump Motor-2
40-CEPM-02,TG BUILDING +9M,CEP Motor-2
40-FNM-012,TG BUILDING +9M,ACC Fan Motor-12
40-FNM-013,TG BUILDING +9M,ACC Fan Motor-13
40-FNM-014,TG BUILDING +9M,ACC Fan Motor-14
40-FNM-015,TG BUILDING +9M,ACC Fan Motor-15
40-FNM-016,TG BUILDING +9M,ACC Fan Motor-16
40-FNM-017,TG BUILDING +9M,ACC Fan Motor-17
40-FNM-018,TG BUILDING +9M,ACC Fan Motor-18
40-FNM-019,TG BUILDING +9M,ACC Fan Motor-19
40-FNM-020,TG BUILDING +9M,ACC Fan Motor-20
40-FNM-021,TG BUILDING +9M,ACC Fan Motor-21
40_FCP_002,TG BUILDING +9M,Fins Cleaning Pump Motor - 02
50-M-110A,TG BUILDING +9M,Pressure & Ventillation Fan Motor-1
50-M-110B,TG BUILDING +9M,Pressure & Ventillation Fan Motor-2
50-M-110C,TG BUILDING +9M,Pressure & Ventillation Fan Motor-3
40-UTP-001,TG BUILDING +9M,UT Pump
40_FCDP_001,TG BUILDING +9M,ACC fins cleaning Dewatering Pump Motor -1
40_FCDP_002,TG BUILDING +9M,ACC fins cleaning Dewatering Pump Motor -2
50-M-111A,TG BUILDING +9M,P & V RECIRCULATION PUMP MOTOR-1
50-M-111B,TG BUILDING +9M,P & V RECIRCULATION PUMP MOTOR-2
50-M-111C,TG BUILDING +9M,P & V RECIRCULATION PUMP MOTOR-3
50-M-111D,TG BUILDING +9M,P & V RECIRCULATION PUMP MOTOR-4
40_M_804,TG BUILDING +9M,ACC Fins Cleaning Water Return  pump 
50_SSF_001,TG BUILDING +4.5M,Side Stream filter (SSF) feed pump motor-1
50_BWTP_001,TG BUILDING +4.5M,Backwash Transfer Pump motor-1
50_GSC_EXH_001,TG BUILDING +4.5M,Gland Steam Condenser Exhauster-1
50_SSF_BLR,TG BUILDING +4.5M,SSF Blower Motor-1
Not Assigned,TG BUILDING +4.5M,Dearator water chamber makeup pump motor-1
50_LP_DOS_001,TG BUILDING +4.5M,LP dosing Pump-1 
50_LP_DOS_AGI,TG BUILDING +4.5M,LP dosing Agitator
10_MOGV_101,TG BUILDING +4.5M,HP BFP Motor Discharge Line-1 MOV
Not Assigned,TG BUILDING +4.5M,LP BFP recirculation MOV-1
Not Assigned,TG BUILDING +4.5M,Min recirculation line to CRT/ Bypass for FCV-303-MOV
10_MOGV_103,TG BUILDING +4.5M,LP BFP Motor Discharge-1 MOV
Not Assigned,TG BUILDING +4.5M,CST Initial filling MOV
10_MOGV_501,TG BUILDING +4.5M,Aux.Cooling water pump motor discharge-1-MOV
10_MOV_001,TG BUILDING +4.5M,Make up water to Vcum D'rator/ Bypass for 10-LCV-001-MOV
Not Assigned,TG BUILDING +4.5M,HP BFP Disc. To Main Ejector Line/ Bypass for TCV- 204-MOV
50_SSF_002,TG BUILDING +4.5M,Side Stream filter (SSF) feed pump motor-2
50_BWTP_002,TG BUILDING +4.5M,Backwash Transfer Pump motor-2
50_GSC_EXH_002,TG BUILDING +4.5M,Gland Steam Condenser Exhauster-2
Not Assigned,TG BUILDING +4.5M,Dearator water chamber makeup pump motor-2
50_LP_DOS_002,TG BUILDING +4.5M,LP dosing Pump-2
10_MOGV_102,TG BUILDING +4.5M,HP BFP Motor Discharge Line-2 MOV
40_MOV_301,TG BUILDING +4.5M,Gland steam Cond to Vac D'rator line/ Bypass for LCV- 302-MOV
10_MOGV_104,TG BUILDING +4.5M,LP BFP Motor Discharge -2 MOV
40_MOGV_301,TG BUILDING +4.5M,CST makeup MOV
Not Assigned,TG BUILDING +4.5M,LP BFP recirculation MOV-2
Not Assigned,TG BUILDING +4.5M,Cond excess dump to DM tank/ Bypass for LCV-302A-MOV
10_MOGV_502,TG BUILDING +4.5M,Aux.Cooling water pump motor discharge-2-MOV
Not Assigned,TG BUILDING +4.5M,Hotwell Re-circulation line/Bypass FCV-301-MOV
31_4311,TG BUILDING +4.5M,MAIN LUBE OIL PUMP
31_4321,TG BUILDING +4.5M, AUXILIARY LUBE OIL
31_4331,TG BUILDING +4.5M,DC EMERGENCY OIL PUMP
