Equipment Tag,Section
1101AF1,Crusher
1101BC1,Crusher
1101BC3,Crusher
1102BC3A,Crusher
1101CP1,Crusher
1101DS1,Crusher
1101DS2,Crusher
1101FN1A,Crusher
1101FN1,Crusher
1101FN2,Crusher
1101FN3,Crusher
1101HS1,Crusher
1101RA1,Crusher
1101RA1A,Crusher
1101RA2,Crusher
1101SX1,Crusher
1101VS1,Crusher
1101VS2,Crusher
1101VS3,Crusher
1101VS4,Crusher
1101WB1,Crusher
1101WB1A,Crusher
1101WP1,Crusher
1101WP1A,Crusher
1101WP2,Crusher
1101WP2A,Crusher
1102BC1,Crusher
1102DG1,Crusher
1103BC1,Crusher
1103BC2,Crusher
1102BC3A,Crusher
1102BC4A,Crusher
1102FN3,Crusher
1102RA3,Crusher
1201BC1,Raw mill
1201BC2,Raw mill
1201BC3,Raw mill
1201BC4,Raw mill
1201FN1,Raw mill
1201FN2,Raw mill
1201FN3,Raw mill
1201RA1,Raw mill
1201RA2,Raw mill
1201RA3,Raw mill
1202AD1,Raw mill
1202BC1,Raw mill
1202BC2,Raw mill
1202BC3,Raw mill
1202BC4,Raw mill
1202BC5,Raw mill
1202BC6,Raw mill
1202CG1,Raw mill
1202FN4,Raw mill
1202FN1,Raw mill
1202FN2,Raw mill
1202FN3,Raw mill
1202FN4,Raw mill
1202FV1,Raw mill
1202LD2,Raw mill
1202MD1,Raw mill
1202MS1-BC1,Raw mill
1202RA1,Raw mill
1202RA2,Raw mill
1202RA3,Raw mill
1202RA4,Raw mill
1202RF1,Raw mill
1202WF1,Raw mill
1202WF2,Raw mill
1202WF3,Raw mill
1202WF4,Raw mill
1202WF5,Raw mill
1203AD1,Raw mill
1203HY1-M1,Raw mill
1203HY1-M2,Raw mill
1203HY1-M3,Raw mill
1203LD1,Raw mill
1203LD2,Raw mill
1203LD3,Raw mill
1203LD4,Raw mill
1203LD6,Raw mill
1203LQ1-M1,Raw mill
1203LQ1-M2,Raw mill
1203LQ1-M3,Raw mill
1203LQ1-M4,Raw mill
1203LQ1-M5,Raw mill
1203LQ1-M6,Raw mill
1203LQ2-HEATER COLD SIDE,Raw mill
1203LQ2-HEATER HOT SIDE,Raw mill
1203LQ2-M1,Raw mill
1203LQ2-M2,Raw mill
1203LQ2-M3,Raw mill
1203LQ2-M5,Raw mill
1203LQ2-M6,Raw mill
1203LQ3-M1,Raw mill
1203LQ3-M2,Raw mill
1203LQ3-M3,Raw mill
1203LQ3-M4,Raw mill
1203LQ3-M5,Raw mill
1203LQ3-M6,Raw mill
1203LQ4-M1,Raw mill
1203LQ4-M2,Raw mill
1203LQ4-M3,Raw mill
1203LQ4-M5,Raw mill
1203LQ4-M6,Raw mill
1203LQ5,Raw mill
1203SD2,Raw mill
1203WP1,Raw mill
1203WP1A,Raw mill
1204AD1 & 1A,Raw mill
1204BL1,Raw mill
1204BL10,Raw mill
1204BL10A,Raw mill
1204BL11,Raw mill
1204BL12,Raw mill
1204BL13,Raw mill
1204BL14,Raw mill
1204BL14A,Raw mill
1204BL15,Raw mill
1204BL16,Raw mill
1204BL17,Raw mill
1204BL18,Raw mill
1204BL18A,Raw mill
1204BL19,Raw mill
1204BL1A,Raw mill
1204BL2,Raw mill
1204BL20,Raw mill
1204BL21,Raw mill
1204BL21A,Raw mill
1204BL22,Raw mill
1204BL23,Raw mill
1204BL24,Raw mill
1204BL24A,Raw mill
1204BL25,Raw mill
1204BL26,Raw mill
1204BL27,Raw mill
1204BL27A,Raw mill
1204BL3,Raw mill
1204BL4,Raw mill
1204BL5,Raw mill
1204BL6,Raw mill
1204BL6A,Raw mill
1204BL7,Raw mill
1204BL8,Raw mill
1204BL9,Raw mill
1204FN1,Raw mill
1204FN2,Raw mill
1204FN3,Raw mill
1204FN4,Raw mill
1204RA1,Raw mill
1204RA2,Raw mill
1204RA3,Raw mill
1204RA4,Raw mill
1204RF1,Raw mill
1204RF2,Raw mill
1204RF3,Raw mill
1204RF4,Raw mill
1205AD1,Raw mill
1205CC1,Raw mill
1205CC2,Raw mill
