1101AF1,Crusher,Apron feeder
1101BC1,Crusher,Belt Conveyor below Primary Crusher 
1101BC3,Crusher,Reversible Belt conveyor
1101CP1,Crusher,Compressor 
1101DS1,Crusher,Dust suppression system-1
1101DS2,Crusher,Dust suppression system-2
1101FN1A,Crusher,Bag filter fan 
1101FN1,Crusher,Bag filter fan for primary crusher 
1101FN2,Crusher,Bag filter fan for secondary crusher 
1101FN3,Crusher,Bag filter fan for Screen house 
1101HS1,Crusher,Hydraulic System Primary crusher
1101RA1,Crusher,RAL for 1101FN01
1101RA1A,Crusher,RAL for 1101FN01
1101RA2,Crusher,RAL for 1101FN02
1101SX1,Crusher,Scraper Conveyor
1101VS1,Crusher,Omini Screen 
1101VS2,Crusher,Omini Screen 
1101VS3,Crusher,Omini Screen 
1101VS4,Crusher,Omini Screen 
1101WB1,Crusher,Wobbler feeder
1101WB1A,Crusher,Wobbler feeder
1101WP1,Crusher,Dewatering Pump 
1101WP1A,Crusher,Dewatering Pump 
1101WP2,Crusher,Dewatering Pump 
1101WP2A,Crusher,Dewatering Pump 
1102BC1,Crusher,Belt Conveyor below Secondary  Crusher 
1102DG1,Crusher,Diverting Gate at LSH TT1 after Sec. crusher 
1103BC1,Crusher,Omani screen discharge conveyor
1103BC2,Crusher,Omani screen discharge to reject hopper
1102BC3A,Crusher,Belt conveyor
1102BC4A,Crusher, Belt conveyor
1102FN3,Crusher,Bag Filter fan at LSH-TT03
1102RA3,Crusher,Rotary air lock for 1102FN03
1201BC1,Raw mill,Reclaimer stockpile belt 
1201BC2,Raw mill,Reclaimer stockpile belt RM TT-1 to RM TT-2
1201BC3,Raw mill,RM TT-2 to RM feed hopper belt conveyor
1201BC4,Raw mill,Reversible conveyor above LS hopper
1201FN1,Raw mill,Bag filter fan at RM  TT-01
1201FN2,Raw mill,Bag filter fan at RM  TT-02
1201FN3,Raw mill,Bag filter fan for LS hopper Top
1201RA1,Raw mill,RAL for 1201FN01
1201RA2,Raw mill,RAL for 1201FN02
1201RA3,Raw mill,RAL for 1201FN03
1202AD1,Raw mill,Aux. drive for 1202MD01
1202BC1,Raw mill,RM feed hopper to  TT 
1202BC2,Raw mill,TT to mill feed conveyor
1202BC3,Raw mill,Raw mill fresh feed belt 
1202BC4,Raw mill,Belt conveyor below reject bin 
1202BC5,Raw mill,Reject / recirculation belt 
1202BC6,Raw mill,Raw mill elevator feed belt 
1202CG1,Raw mill,Claim Shell Gate
1202FN4,Raw mill,Bag filter fan for 1202BC06
1202FN1,Raw mill,Bag filter fan at  Raw mill hopper Extraction
1202FN2,Raw mill,Bag filter fan at RMH TT-1
1202FN3,Raw mill,Bag filter fan for 1202HP06
1202FN4,Raw mill,Bag filter fan for 1202BC06
1202FV1,Raw mill,Mill reject flap valve
1202MD1,Raw mill,Raw mill reject recirculation chain bucket elevator 
1202MS1-BC1,Raw mill,Magnetic Separator Belt 
1202RA1,Raw mill,RAL for 1202FN01
1202RA2,Raw mill,RAL for 1202FN02
1202RA3,Raw mill,RAL for 1202FN03
1202RA4,Raw mill,RAL for 1202FN04
1202RF1,Raw mill,Rotary feeder 
1202WF1,Raw mill,Weigh Feeder for LS hopper -1-Low Grade
1202WF2,Raw mill,Weigh Feeder for LS hopper -2
1202WF3,Raw mill,Weigh Feeder for LS hopper -3
1202WF4,Raw mill,Weigh Feeder for Laterite hopper-1
1202WF5,Raw mill,Weigh Feeder for Laterite hopper-2
1203AD1,Raw mill,Raw mill aux. drive 
1203HY1-M1,Raw mill,Hydraulic system for mill - Cond. Pump
1203HY1-M2,Raw mill,Hydraulic system for mill - Pressure Pump-1
1203HY1-M3,Raw mill,Hydraulic system for mill - Pressure Pump-2
1203LD1,Raw mill,Lower damper from PH Fan to raw mill duct
1203LD2,Raw mill,Lower damper raw mill recirculation duct
1203LD3,Raw mill,Lower damper PH Fan to Raw mill duct in fresh air duct
1203LD4,Raw mill,Lower damper in bypass duct
1203LD6,Raw mill,Lower damper for bypass duct dillution ( fresh air duct)
1203LQ1-M1,Raw mill,Low Pressure Pump-1
1203LQ1-M2,Raw mill,Low Pressure Pump-2
1203LQ1-M3,Raw mill,High Pressure Pump-1
1203LQ1-M4,Raw mill,High Pressure Pump-2
1203LQ1-M5,Raw mill,High Pressure Pump-3
1203LQ1-M6,Raw mill,High Pressure Pump-4
1203LQ2-HEATER COLD SIDE,Raw mill,Heating Element
1203LQ2-HEATER HOT SIDE,Raw mill,Heating Element
1203LQ2-M1,Raw mill,Conditioning Pump
1203LQ2-M2,Raw mill,Feed Pump - Roller 3
1203LQ2-M3,Raw mill,Feed Pump - Roller 4
1203LQ2-M5,Raw mill,Return Pump - Roller 3
1203LQ2-M6,Raw mill,Return Pump - Roller 4
1203LQ3-M1,Raw mill,Conditioning Pump
1203LQ3-M2,Raw mill,Feed Pump - Roller 5
1203LQ3-M3,Raw mill,Feed Pump - Roller 6
1203LQ3-M5,Raw mill,Return Pump - Roller 5
1203LQ3-M6,Raw mill,Return Pump - Roller 6
1203LQ4-M1,Raw mill,Conditioning Pump
1203LQ4-M2,Raw mill,Feed Pump - Roller 1
1203LQ4-M3,Raw mill,Feed Pump - Roller 2
1203LQ4-M5,Raw mill,Return Pump - Roller 1
1203LQ4-M6,Raw mill,Return Pump - Roller 2
1203LQ5,Raw mill,Classifier gear box lubrication pump
1203SD2,Raw mill,Shut off damper in Raw mill fan to bypass duct
1203WP1,Raw mill,Water spray pump 
1203WP1A,Raw mill,Water spray pump 
1204AD1 & 1A,Raw mill,Aux. Drive Bucket Elevator-1
1204BL1,Raw mill,Air slide blower for 1204AS01
1204BL10,Raw mill,Air slide blower for 1204AS03
1204BL10A,Raw mill,Air slide blower for 1204AS03
1204BL11,Raw mill,Air slide blower for 1204AS04
1204BL12,Raw mill,Air slide blower for 1204AS04
1204BL13,Raw mill,Air slide blower for 1204AS04
1204BL14,Raw mill,Air slide blower for 1204AS04 
1204BL14A,Raw mill,Air slide blower for 1204AS04 
1204BL15,Raw mill,Air slide blower for 1204AS04 
1204BL16,Raw mill,Air slide blower for 1204AS04 
1204BL17,Raw mill,Air slide blower for 1204AS04 
1204BL18,Raw mill,Air slide blower for 1204AS04 
1204BL18A,Raw mill,Air slide blower for 1204AS04 
1204BL19,Raw mill,Air Slide Blower for 1204AS05
1204BL1A,Raw mill,Air slide blower for 1204AS01 
1204BL2,Raw mill,Air slide blower for 1204AS02
1204BL20,Raw mill,Air Slide Blower for 1204AS05
1204BL21,Raw mill,Air Slide Blower for 1204AS05
1204BL21A,Raw mill,Air Slide Blower for 1204AS05 (Stand By)
1204BL22,Raw mill,Air Slide Blower for 1204AS06-15
1204BL23,Raw mill,Air Slide Blower for 1204AS06-15
1204BL24,Raw mill,Air Slide Blower for 1204AS06-15
